during training cycle 	, train error ,  test error ,   500
11   ,	0.593925,   0.483839
21   ,	0.593324,   0.458636
31   ,	0.55964,   0.285655
41   ,	0.617823,   0.493694
51   ,	0.649734,   0.440512
61   ,	0.647412,   0.432394
71   ,	0.649583,   0.426245
81   ,	0.643329,   0.420843
91   ,	0.638147,   0.429294
101   ,	0.637471,   0.418568
111   ,	0.644389,   0.425924
121   ,	0.649331,   0.428236
131   ,	0.637843,   0.39672
141   ,	0.656399,   0.429858
151   ,	0.628481,   0.401866
161   ,	0.631654,   0.392535
171   ,	0.629494,   0.341238
181   ,	0.614495,   0.218334
191   ,	0.645579,   0.362656
201   ,	0.694598,   0.42307
211   ,	0.668846,   0.44452
221   ,	0.675752,   0.460508
231   ,	0.684264,   0.468433
241   ,	0.667934,   0.474139
251   ,	0.667463,   0.444718
261   ,	0.688379,   0.477054
271   ,	0.655193,   0.446924
281   ,	0.628442,   0.392508
291   ,	0.657351,   0.497189
301   ,	0.646844,   0.481293
311   ,	0.642226,   0.467792
321   ,	0.654341,   0.450712
331   ,	0.656965,   0.463063
341   ,	0.65644,   0.51308
351   ,	0.677637,   0.51189
361   ,	0.678499,   0.509545
371   ,	0.673944,   0.513094
381   ,	0.680757,   0.51286
391   ,	0.68415,   0.511492
401   ,	0.673371,   0.509786
411   ,	0.681046,   0.475049
421   ,	0.668457,   0.514778
431   ,	0.68594,   0.348312
441   ,	0.68287,   0.257994
451   ,	0.680436,   0.347872
461   ,	0.681851,   0.349428
471   ,	0.683345,   0.351542
481   ,	0.687508,   0.350212
491   ,	0.682397,   0.489851
