during training cycle 	, train error ,  test error ,   300
11   ,	0.597454,   0.483375
21   ,	0.587849,   0.474491
31   ,	0.582182,   0.428283
41   ,	0.531881,   0.245741
51   ,	0.635853,   0.479396
61   ,	0.634875,   0.478786
71   ,	0.635078,   0.479324
81   ,	0.629244,   0.484192
91   ,	0.639964,   0.482976
101   ,	0.638343,   0.475223
111   ,	0.64724,   0.300301
121   ,	0.648288,   0.298816
131   ,	0.646346,   0.300466
141   ,	0.645363,   0.300595
151   ,	0.652424,   0.299224
161   ,	0.650975,   0.301329
171   ,	0.649602,   0.302688
181   ,	0.649427,   0.305675
191   ,	0.651341,   0.313479
201   ,	0.651047,   0.359935
211   ,	0.650719,   0.339286
221   ,	0.650931,   0.316653
231   ,	0.651644,   0.316376
241   ,	0.65134,   0.322361
251   ,	0.651374,   0.328497
261   ,	0.651369,   0.331601
271   ,	0.651457,   0.333333
281   ,	0.651758,   0.334857
291   ,	0.652281,   0.336432
