during training cycle 	, train error ,  test error ,   200
11   ,	0.629629,   0.498288
21   ,	0.614999,   0.490961
31   ,	0.595567,   0.456218
41   ,	0.569656,   0.287173
51   ,	0.641835,   0.299179
61   ,	0.649444,   0.396776
71   ,	0.65061,   0.408147
81   ,	0.651371,   0.414832
91   ,	0.651877,   0.416399
101   ,	0.652428,   0.411932
111   ,	0.653584,   0.408397
121   ,	0.652826,   0.406459
131   ,	0.646916,   0.414899
141   ,	0.627639,   0.451396
151   ,	0.633889,   0.44304
161   ,	0.628046,   0.450259
171   ,	0.633313,   0.20498
181   ,	0.645462,   0.20571
191   ,	0.642926,   0.208353
