during training cycle 	, train error ,  test error ,   100
11   ,	0.604018,   0.489517
21   ,	0.597653,   0.486425
31   ,	0.601865,   0.46493
41   ,	0.579355,   0.364873
51   ,	0.623651,   0.488096
61   ,	0.629952,   0.489274
71   ,	0.635034,   0.48887
81   ,	0.611375,   0.474738
91   ,	0.613899,   0.454271
